index,user_id,item_id,playtime_forever
467858,76561198077734778,107410,200878
406135,RadicalLapis,730,200751
3952032,76561197997877997,240,200647
527548,SealSAURUS,4000,200638
504901,4801,730,200385
3503806,SweetSugar,4000,200292
4518392,szpandinhasz,730,200045
2643101,end978,550,199883
2305517,c1u,730,199828
3965162,givemetheaids,240,199386
68152,Ahahahahahahahahahahahahahahaha,363970,199170
136274,76561198086282677,730,198922
3239526,76561198016934110,550,198761
545977,Symbolize,4000,198643
1834042,xXAussieRockXx,4000,198207
158883,LapFucksTrax,730,198085
2502060,76561198054579724,730,197819
3698307,LeZoidberg,730,197038
2805569,JuzzaSP,730,196436
1808042,76561198066115780,730,196292
3893312,tdesherek,80,196223
3996734,Greggs_place,240,195689
4128543,76561198027046413,1250,195619
847817,DarkKnight2599,4000,195398
4191692,76561198034829571,730,195127
4984153,76561198087448010,4000,195126
832683,76561198073775164,47410,195050
4865348,DonationsAreAccepted,4000,195048
763360,ProCSSPlayer10101,4000,194948
3836489,what87,240,194911
1555262,76561198058539753,105600,194548
336839,76561198057471883,4000,194431
3749613,yvruv1l,730,194282
3242689,shane738,4000,194150
4992383,76561198088238670,4000,193520
32428,76561198013858002,363970,193173
2767785,Jet_NineHundredAndTwentySeven,730,193098
4881811,76561198078843911,4000,193040
2825770,76561197961234023,240,192590
215211,76561198048597734,236850,192404
4270024,nguyenkytrung,730,192379
528513,76561198117813768,4000,192332
1903988,76561198048182262,72850,191543
1291658,multinationalcorporation,730,191306
3375192,76561198044184931,99900,191233
2141378,131312,48700,191090
4246241,76561198039696884,4000,190621
515024,zenncs,730,190230
4103011,DonaldsSmallLoan,4000,190218
4277757,76561198041606239,42710,190158
17400,76561197990792016,730,189556
1500010,frompanem,4000,189344
4422867,LethalOkami,107410,189236
3086050,TrippedSociety,300,189181
3796135,Whyyyyyyyyyyyyyyyy,4000,189163
143128,lucifer666678,550,188963
29220,iamthetrashlord,4000,188867
2129709,mmunchies,730,188605
882563,bigmushroom,8500,188531
1819624,Zapruda,730,188529
4111261,76561198025364734,240,188285
2311137,x-code-x,203770,187919
69942,Hummingsenpai,230410,187720
2261226,Cawwot,4920,187544
4039490,76561198013535175,730,187287
5142421,76561198166194627,212500,187157
906488,76561198068194476,4000,187127
931437,76561197960564189,233250,187017
60360,de_triggered,4000,187008
2579407,76561198037072308,24960,186582
1373304,76561198027240315,230410,186310
1789093,Wynnhann,730,186278
3750056,BobRobson,39210,186238
3269388,OfficialTonyAbbott,107410,186077
3514812,echo125,17020,186074
792075,CHOZN1,39120,185882
1610766,76561197969331617,730,185653
4662571,76561198065416360,72850,185650
2547842,76561197967445425,10,185647
2997224,suprisinglystupid,323370,185604
4428070,joeynn,323370,185360
1574829,76561197990027470,730,185282
1408181,76561198017618407,240,184979
4891957,76561198079518488,363970,184934
6832,wirlom,550,184933
1472413,ANUSLUBE,730,184811
4160195,76561198031013164,8930,184685
3935132,voltaaaa,730,184622
341983,76561198006494735,8930,184396
75022,76561197999613236,4000,183928
159921,MartinZ,8930,183889
3501494,Suspicious,4000,183853
2832798,76561197980089023,240,183647
1894282,76561198061354183,8500,183490
914644,76561198044588815,363970,183434
1019069,NickMagnus,730,183190
1914720,vetal93rus,550,182871
289116,TheDeadlyBandit,107410,182838
1360302,weherphere,105600,182809
3904783,76561197985856321,10,182669
1477180,Rhyzak,218620,182400
2944895,76561198046868249,730,182358
1668748,76561198089664538,730,182011
3898583,76561197983402043,730,181692
3055233,isis4ever,730,181528
210880,horizon95,252490,181521
4031254,Bran995461,240,181425
370379,76561198058520509,730,181341
4265420,76561198041008266,378120,181018
3639050,Glubdubdrib,244210,180406
1312137,bigodo,230410,180277
4397957,76561198047924948,8930,180189
3489727,76561198026475629,730,180051
185388,Gavvvv,4000,179996
4791583,blindfrog42,99900,179308
2016011,76561198033292201,240,179291
800096,76561198037488165,107410,179281
571752,26292919,240,179121
4915574,76561198081358616,4000,179008
193204,GREENMAN41,230410,179005
918752,pizzerman,4000,178996
1955000,76561198055304676,4000,178989
867442,DeezNuttaroos,4000,178945
247714,76561197991853420,4000,178869
1148916,76561198003347463,8930,178756
1292695,76561198072850898,105600,178588
3906268,76561197986818258,240,178345
28071,pikawuu2,230410,178021
1047631,XHarbor,730,178001
3700551,ORIONSKZE,240,177916
4521951,76561198057083118,363970,177681
2411782,awwyeahnah,240,177558
2417750,76561198040016388,8500,177191
2327849,ndrss,4000,177110
2198072,76561198092358480,730,177083
425575,76561198059487098,4000,176995
3787105,kylesmithy,4000,176951
1141951,76561198022404680,72850,176839
2466197,76561198002171489,240,176746
1431895,GrumpyFoxx,4000,176705
3798198,add2it,252490,176386
174134,Fliqi,730,176022
4427054,76561198049949627,42710,175937
3682522,Warrfoxx,730,175910
2626624,grumpher,4000,175779
1338570,NedSilver,33930,175066
4234124,76561198038678880,730,175013
2328841,76561198026008283,105600,174675
829250,curtiits,730,174561
1011736,76561198026468073,346900,174499
2639122,Hallucifier,730,174280
2944344,masterroach,230410,174159
755969,Brucearu,4000,174046
1902356,bermudablue,4000,173994
4813483,_itsbf3_,240,173798
1427239,76561198006585818,218230,173613
4813862,76561198073641239,730,173470
4702176,SMDA,730,172923
17340,Sanctus94,107410,172817
15608,StelerForYou,730,172753
909885,DrexelWhiteWalter,4000,172499
3319419,76561198062544523,4000,172464
455364,76561198086575203,230410,172370
486056,milliardovr,730,172261
1908228,LeafyIsH3r3,4000,172185
1872028,futhorc,730,172146
408644,76561198072850352,4000,172134
1677536,TheJordanSixFifty,4000,172071
1155579,76561198017237313,99900,172002
414347,76561197966979423,8930,171786
2168226,76561198053180471,200210,171731
1780836,76561197971366625,244850,171674
548133,ZombieBiscuit,113400,171026
3252627,KinGRaFiki,730,170738
4044042,sdq101,4000,170653
1076278,HueziiE,730,170614
480033,ninhigan,730,170581
218847,IGotDahMunchies,4000,170456
1477375,BlackReaperHei,109600,170394
264198,76561198020449132,238960,170394
505472,xjerseypsycho,346110,170388
1393052,76561198004901938,4000,170359
476305,triggerbeast,230410,170319
3834809,Jantoz,730,170319
3889702,76561197979924366,240,170060
2723170,76561197978871474,240,169991
2349481,76561198019112245,240,169925
4467665,AussieAussie,4000,169647
421356,76561198060469849,4000,169645
2351866,76561197996767783,4000,169515
2407132,76561198079582022,4000,169511
3671597,vinidias15,730,169432
4450100,ImYourGrandma,730,169412
627158,a4nic8er,17020,169235
1856061,Fepa3,730,169235
1904843,SmokaBluntos,11610,169016
147054,GhandiSikh,4000,168963
3782500,9891366488166201131455234,4000,168960
4064929,76561198018529675,240,168740
139165,76561198093191096,230410,168732
3132988,76561197977544920,230410,168507
1718393,DrSparkle,218620,168424
4509870,ScottyG555,365670,168314
1234750,76561198011616111,240,168120
50824,76561198084123358,244850,168012
722014,76561198075906417,730,167977
2079227,76561197991055234,105600,167685
563200,3021Daniel,730,167420
3080404,n00bmobile,4000,167337
1105341,Anti_Sphere,268420,167277
3832565,76561197961745322,218230,167168
2735685,76561198076701454,4000,166941
2832221,76561198051911068,252490,166810
3906634,TADOW,240,166779
91955,carouserwhite,4000,166704
297924,76561198079887518,107410,166504
2771088,76561198061230129,363970,166429
1481590,Rivenscry,230410,165907
3593304,DemondSlayerV,730,165889
1580421,76561198057253097,323370,165761
1806765,76561198044511328,240,165374
1562709,laygittlefiggernaggot,4000,165293
3605129,76561197960324641,3900,165271
4924501,76561198081997653,295270,165225
2201279,76561198049856227,47410,165178
4597393,76561198061559559,4000,165094
2619582,76561198055387794,72850,164585
3175579,parktesla,730,164531
1463643,CSDFawe,4000,164445
4570204,MicrosoftWord123,4000,164365
121364,DKA013,230410,164335
4833645,Frostbyte568,730,164260
4957519,76561198084812506,218230,164181
2948728,subhav,730,164090
200349,76561198123168383,252490,164047
1518275,ScorchingShadow,730,163967
332307,76561198049216153,216150,163911
595402,76561198057953245,730,163798
2774040,JinDoritos,245550,163777
1897010,986754,4000,163760
4605491,killer81KappaKappa,730,163753
671659,asixCSGO,730,163698
1007643,geoskio,4000,163509
2884186,laurences2k,730,163429
973769,JimmyNaar,4000,163301
2021510,76561198067260562,218230,163045
195456,gusso10_,730,162892
3474725,Shoottj,4000,162802
4776479,76561198071775766,295110,162747
1181715,76561198001175414,730,162698
2396657,deoxidecsgo,730,162603
1116630,Kichia,730,162566
4978362,76561198086698451,105600,162395
1144177,dzakuan,730,162292
1004559,76561197998925934,49520,162225
3737397,76561198098418019,237310,161951
1538137,gottabesaints,730,161685
3546609,76561198079254609,363970,161600
408561,Servium,237310,161570
2903456,76561198022069479,10190,161488
2874566,76561198050414588,39210,161384
4159449,76561198030914302,39210,161383
485479,83837474,4000,161307
1997059,HenezRS,200210,161136
519206,76561198061404366,4000,160986
4870582,76561198078072918,250900,160787
3356538,ScreamingAngels,244850,160650
40970,76561198029090446,240,160508
49295,AngryAinsley,4000,160488
3697120,wholegamer,4000,160408
1434714,76561198012742919,105600,160313
1497942,rryder,230410,160149
2782042,The_Mad_Mutant,730,160133
1479552,ri3Llife,730,160111
2140306,Bakuhteh,4000,159933
1509705,Sansomar,4000,159852
3745728,YousefCuz,4000,159804
4054089,komarexpl,730,159660
2242128,76561198120814021,221100,159560
1975675,76561198062021222,47890,159558
4925712,76561198082068725,218230,159525
3592481,76561198062597659,200210,159400
1969493,l0se,113400,159350
4406882,confuzzledkiller,4000,159297
1158938,76561198077663677,72850,159212
1972306,ShureddoWeaboo,730,159139
1806089,TwoEaster,107410,159036
560964,76561198159037032,550,158980
4163417,76561198031581706,377160,158693
618248,TiddlysWink,4000,158556
3766789,guysthethermaldrillgetit,4000,158501
2533547,76561198124399539,255710,158444
528195,76561198041284313,42710,158405
4368870,76561198046045570,220200,158393
2117864,fuckyoualnahyan,230410,158377
1223893,76561197970551076,550,158249
4135731,lebtiger91,346900,158237
1375460,OhMoosey,10,158053
580331,MrProvidings,4000,157964
212905,itschewz,730,157822
2612308,marzzzzz,730,157764
2540522,coleridge49,240,157715
4034700,76561198012334657,240,157230
2003832,76561197980184475,730,157116
3228861,THE_PROFITZY,730,157021
1311329,travisty98,4000,156934
2410266,76561198028458466,363970,156718
1345403,210519992016,730,156557
2204317,Bonkbonkerson,4000,156518
250092,76561198094237991,230410,156486
1515537,sbeghen,730,156440
1873607,archy18,218620,156429
225898,OmegaTheDesigner,4000,156340
770990,mumbo3352,99900,156333
1549151,76561198053738092,4000,156215
867590,Denzham,240,156186
1874975,76561198043803212,730,155997
355402,76561197971799489,730,155874
974763,76561197968594848,730,155711
4655233,KDY,4000,155662
2582481,bangs8,256410,155621
278475,magicfps,730,155567
1626842,76561198029596731,550,155536
1156061,K3nchi,238960,155407
1035671,nipplelicker4000,240,155329
4219018,76561198037212970,105600,155258
182149,76561197996644248,730,155236
153495,76561198049330006,8930,155220
1821843,hoarfrostkid,237310,155208
1171138,KillerKanMX,4000,155128
1519974,Scyther_CS,730,155085
2568691,76561198058907115,385770,155084
768105,76561198045475428,363970,155066
1110398,Iweeoncats,4000,154961
1766942,webbydee,240,154662
1985344,Clammed,730,154604
2244757,76561198002127486,4000,154584
1363641,76561198021354387,240,154546
1026685,Gravalanch,78000,154446
3431586,76561198059180662,72850,154443
607646,76561198088082495,1250,154400
3902124,76561197984814608,78000,154394
4404211,76561198048416962,730,154319
3454617,WasSphinx,4000,154242
4116962,tiibzeh,10190,154135
2531149,UnkleFisty,730,154055
622237,KelaedeN,730,153958
3625416,76561197960572371,363970,153844
1969632,pro100van4eg,730,153830
1464472,RedNifty,730,153774
3227058,herter,730,153746
4048856,mith_ele,550,153620
4720711,KILLZMADOG,4000,153536
2900527,76561197967621845,300,153504
4320366,HerbFreak,1250,153450
993055,76561197962448420,214360,153350
2868783,kummaz,363970,153308
4675551,stratex5,730,153216
367250,pixelism,218230,153139
3197041,76561198046386934,363970,153125
562206,paw_ftw,105600,152902
4104712,76561198024776356,4000,152610
2621958,76561198018677971,48700,152574
6275,ABSOLUTLY_NOTHING,230410,152558
474492,76561198053013871,230410,152511
1294325,76561198064197054,346110,152498
4343129,76561198044765968,730,152359
1814015,yulsuf,730,152340
2142752,paigamer2012,252490,152308
3540454,76561198088129281,107410,152301
2354212,76561198104235208,236390,152258
2786806,76561198017500791,550,152223
3124936,22109203,240,152220
805316,Connor5620,10190,152006
26609,76561198088447673,203290,151764
213438,mkdtiger,730,151641
5133622,CharlesMate,730,151507
335213,76561198042670020,4000,151449
5045564,Nickelodeon1337,730,151274
4246006,Raixin,4000,151249
150389,DrumEssence,251570,151235
2756790,ZertixCSGO,730,151227
2043794,76561198094410284,4000,151226
662437,KuronishiX,4000,151222
290621,76561198079405465,730,151097
2118827,HumpALump,230410,150740
4851985,76561198076469340,4000,150739
2492586,EternalDerpness,4000,150698
4289682,76561198042229626,730,150618
3218238,76561198048172607,238960,150596
2015204,76561198035544129,202990,150586
567800,76561198130550472,730,150563
2456617,DuffBeer1,4000,150490
3044221,76561198045664441,42710,150485
1556812,76561198013149300,730,150478
3862753,76561197971188713,9900,150356
3010817,76561198061208964,4000,150255
1565644,skyheat,730,150206
1844018,nicolito0,237310,150124
3271522,RedDog84,550,150114
2500434,rascalewez,730,150044
4152138,f1l1p1N,10,149989
3491347,SuddenNight,47410,149975
3659239,ReithlessNomz,730,149936
4725893,76561198068866981,236390,149848
4531079,Ender_Cat,4000,149817
3339271,76561198028297013,730,149701
2566328,Jellofacey,730,149693
4467387,76561198053140237,4000,149650
1950465,76561198057125811,730,149637
724574,76561198002429348,42710,149551
1766799,webs-is-a-fucking-mess,4000,149523
3412655,SWYANO,107410,149475
2742157,76561198019160833,730,149405
107646,76561198066789278,730,149207
3483349,strat0sssss,730,149163
5097487,76561198103649700,730,149083
758868,76561198081938549,252490,149041
451945,tazzudevil,346110,149040
1786047,Wdsy,238960,148949
1978478,xoxoQoxox,730,148936
653900,Seahunter9,238960,148926
1888500,235324234732,550,148904
924690,conco_gg,730,148688
4646508,76561198064540648,730,148678
4221952,Pattoh,33930,148673
19174,76561198141443390,730,148507
1859444,thanathep,730,148285
4396594,Swoodleburger,4000,148278
4814304,76561198073663835,4000,148111
408968,76561198111193351,9900,148043
760499,Burch2,4000,148004
3994892,I-WET-AN-ORPHAN,4000,147712
4816274,76561198073765957,4000,147591
1968377,EliteJohnnyElite,4000,147561
853420,exploderguy,4000,147358
2857800,eyboss998,730,147231
553338,dezcookies,730,147145
3115783,Q-Dance,72850,147057
1997992,ObamaHasEbola,730,147031
477932,AAkenz,238960,146962
3728593,76561198084544554,363970,146953
1991646,zantheon,4000,146949
3969909,76561198000205746,24960,146935
4840449,76561198075582003,301520,146864
3888444,76561197979120125,550,146838
3581894,leweeeeeeee,730,146784
4950793,ramjamslam,209080,146741
234840,lilnobody,730,146705
4630636,mickdberry,218620,146519
4716097,76561198068265347,730,146494
3758093,ZenAndZen,30,146484
1118116,Jakobey,730,146483
1391631,SvnK7,730,146470
3340315,76561198119853060,730,146456
2604861,shannandoughtycsgo,730,146410
4717426,isaacredfist,4000,146382
1892751,76561198070633323,730,146332
3771342,zucchin1,730,146211
1963277,LachieCS,730,146047
3510625,76561198068516658,730,146040
651431,AncientArtofDaiSuKi,230410,145879
3265258,76561198058124716,8930,145838
389020,RocketLauncherManiac,4000,145838
358106,plazt,730,145755
4995601,rexyman52,268850,145729
4461570,BradS_23,730,145626
3164843,76561198077557052,730,145598
1865122,76561198072861775,730,145540
3635939,76561198044711473,209270,145465
385161,Matoota,4000,145388
3814555,76561198064897138,730,145265
251271,kk_kyser,240,145037
2297244,76561198064335147,8930,145015
2580146,76561198064935321,230410,145006
2378875,76561198022908298,230410,144952
200550,76561198046718131,230410,144917
3777997,76561198006048941,730,144904
172730,Charanchila,730,144883
488274,veroxAU,730,144858
370232,76561198072177030,268850,144853
3803113,Andi-mc-chan,730,144851
284458,sparkadia,363970,144832
1900393,76561198015886143,10,144786
3020982,154352,4000,144763
3435072,snowldd,4000,144719
436787,jimmaye24,99900,144718
8436,76561198028895010,230410,144710
1955189,76561198093869205,730,144681
1274233,Michael__James,730,144680
3634779,shelb95,730,144666
2225401,76561198034082727,230410,144662
212011,76561197999429998,304050,144593
2977347,xmatiias,730,144569
453400,masterteo5,730,144494
3838017,TgWaKu,730,144483
3194441,Phoenixx3,240,144436
517432,76561198083246772,730,144399
10018,sandwiches1,39210,144397
2437341,76561198022309425,10190,144396
2600890,glaze_evas,113400,144306
531721,76561198070899741,730,144082
4371544,KittyWhispers,240,143810
3547422,76561198052117814,730,143742
2985097,MaxM_,730,143554
3626929,linkcosyolo,730,143480
1729264,studsdean,4000,143447
863096,76561198002258204,240,143334
4050953,76561198015889042,42710,143242
59677,auzmoz,320,143168
2343240,mocebunny,230410,143155
2020634,1epicninja,730,143151
3380251,Terminally-Chill,219640,143055
18199,xoFushiox,550,143005
617959,puddingtip,730,143001
3515586,eomd,730,142997
3184796,CSGO_legend,730,142849
2025422,76561198069596114,730,142707
1106659,Chellyyyyyy,39210,142705
3736174,yeb123,730,142677
1065189,76561198003378621,240,142592
22869,pwrt,230410,142589
1838695,76561197965929122,363970,142520
258353,kurbi-wan_kenobi,730,142495
608000,Hybrid2000,730,142297
1974815,nom1stakeaboutit2itsourst0ry,550,142256
1601220,76561197983351572,550,142242
4056636,76561198016650326,203290,142220
1313981,Eosoforcus,363970,142166
2746578,76561198021295700,212180,142151
2340816,76561198070407298,48700,142121
3794354,76561198097227741,4000,142052
2874793,Kyvex,107410,142051
575474,Mersphire,230410,141977
25018,euzi,378120,141766
4927016,TheSuchWow,730,141762
4138929,76561198028102432,42710,141665
5127637,rstar42,378120,141663
3905000,0112937783,4000,141641
2880534,76561197964129564,240,141582
3369212,-SEVEN-,730,141575
1147832,cheetie,214950,141529
1282270,76561197987766332,20,141467
382881,76561198048639473,730,141439
1669157,TheOneSlug,730,141293
2405348,DickRichardJohnson,231430,141283
4837183,madmike97,730,141268
604260,76561197977767929,346110,141180
89893,76561198039236799,105600,141148
1885333,DrQuaz,236850,141104
1958436,76561198065164382,4000,141030
4080519,pussayfucker,4000,140978
173477,OH_MY_GOSH,236850,140962
4014871,karateslap,39120,140811
2020204,76561197967270344,730,140736
3983315,danakarmahadi,240,140711
2385167,76561198053666288,730,140609
2721781,76561198037738584,730,140582
1621783,SucoVidya,107410,140554
3739252,ynotisthequestion,730,140353
3557996,aussiepommy,230410,140275
1043840,DarkZeroZ,730,140145
223350,76561198068363182,4000,140129
3151925,76561198066939949,17450,140112
1716828,Turtzzz,42710,140083
417995,el-Gusto,4000,140038
1900384,LimitsAU,386360,139958
1389772,protatoSTALKER,730,139946
2211633,dumbassscout2005,4000,139893
2042930,Papillon26,730,139853
398675,Sambareno,4000,139843
168076,76561198092362090,287450,139836
1677126,TheHelplessCow,730,139834
4141501,jjbbcc,730,139716
980773,TFA_Freedom,730,139713
800425,coconut1305,107410,139642
3905550,Shready,730,139638
2711856,76561197974941166,730,139576
926474,Ekijo,230410,139301
