item_id,release_date_imputed,tags&genres,hours,minutes
1630,2006-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",351.85,51.0
2400,2006-07-11,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",17469.266666666666,16.0
662570,2017-11-10,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",,
381620,2017-11-10,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",,
714020,2017-11-10,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",,
541930,2017-11-10,"['Early Access', 'Indie', 'Action', 'VR']",,
759920,2017-12-29,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",,
659780,2018-03-30,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",,
603280,2017-12-29,"['Indie', 'Action', 'Adventure', 'RPG']",,
753110,2017-12-29,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",,
753100,2017-12-29,"['Indie', 'Action']",,
769350,2012-08-27,['Education'],,
764280,2017-12-30,"['Action', 'Adventure', 'Casual']",,
374970,2017-11-10,"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",0.0,0.0
758550,2017-12-29,"['Adventure', 'Indie', 'Casual', 'Free to Play']",,
3800,2005-08-09,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",228.18333333333334,11.0
1520,2006-09-29,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",3690.633333333333,38.0
2420,2006-11-20,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",3234.133333333333,8.0
4000,2006-11-29,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",7472776.933333334,56.0
4230,2006-11-24,"['Racing', 'Simulation']",1349.1833333333334,11.0
4900,2006-12-14,"['Casual', 'Indie', 'Puzzle']",2.5666666666666664,34.0
2520,2006-12-19,"['Casual', 'Indie', 'Singleplayer']",22.316666666666666,19.0
6200,2003-08-23,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",720.9166666666666,55.0
6210,2006-12-21,"['Strategy', 'Simulation', 'Management']",137.1,6.0
6300,2006-04-17,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",354.93333333333334,56.0
2990,2006-08-01,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",4498.016666666666,1.0
6220,2005-07-12,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",709.6166666666667,37.0
6510,2007-06-26,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",727.5833333333334,35.0
3980,2006-07-24,"['Strategy', 'City Builder', 'Simulation', 'Rome']",204.76666666666668,46.0
1700,2002-11-12,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",320.9,54.0
6310,2000-11-17,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",875.4666666666667,28.0
3990,2006-07-24,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",2322.4333333333334,26.0
7610,2003-10-23,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",256.6166666666667,37.0
7600,2006-10-16,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",3607.983333333333,59.0
7620,1998-10-31,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",13.716666666666667,43.0
2540,2007-06-01,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",106.05,3.0
7650,1995-04-01,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",830.65,39.0
8000,2007-06-05,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",1712.4166666666667,25.0
6550,2006-05-23,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",1124.6666666666667,40.0
8200,2006-10-17,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",819.1833333333333,11.0
2290,1996-06-17,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",260.76666666666665,46.0
2570,2007-06-29,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']",13.516666666666667,31.0
8210,2006-12-20,"['Adventure', 'Action']",521.4666666666667,28.0
2280,1995-04-30,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",1302.55,33.0
9160,1995-06-01,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",134.66666666666666,40.0
2300,1994-05-05,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",1112.7,42.0
2270,1994-08-03,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",543.9333333333333,56.0
9010,2001-11-20,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",1718.4333333333334,26.0
9040,1997-02-28,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",157.48333333333332,29.0
9000,1993-10-10,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",55.483333333333334,29.0
3810,2003-09-09,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",276.8833333333333,53.0
9030,2007-08-03,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",149.93333333333334,56.0
2310,2007-05-31,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",1556.45,27.0
3230,2007-03-20,"['Strategy', 'Space', 'Sci-fi', 'RTS']",71.53333333333333,32.0
9310,2006-01-01,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",4929.183333333333,11.0
7670,2007-08-21,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",45173.316666666666,19.0
4570,2006-01-01,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",12406.7,42.0
4580,2006-10-09,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",31356.1,6.0
4760,2004-09-22,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",50329.066666666666,4.0
4770,2006-06-26,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",1500.9666666666667,58.0
50970,2007-12-14,"['Casual', 'Hidden Object']",0.5166666666666667,31.0
12170,1998-06-30,"['Action', 'Classic', 'Open World', 'Singleplayer', '2D', 'Adventure', 'Top-Down', ""1990's""]",249.83333333333334,50.0
12180,1999-10-25,"['Action', 'Classic', 'Open World', 'Singleplayer', 'Shooter', 'Free to Play', '2D', 'Crime', 'Adventure', 'Violent', 'Gore']",142.0,0.0
12130,2004-04-20,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",135.01666666666668,1.0
12160,2003-07-01,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",510.5833333333333,35.0
12150,2003-10-14,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",3328.05,3.0
7000,2006-04-07,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",1181.8666666666666,52.0
12140,2001-07-25,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",4741.25,15.0
17480,2008-10-28,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",26066.366666666665,22.0
12500,2007-10-10,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",2138.266666666667,16.0
12310,2007-10-23,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",3.45,27.0
12510,2007-08-01,"['Strategy', 'Simulation']",617.8166666666667,49.0
12530,2007-09-01,"['Action', 'Adventure', 'Strategy', 'Hunting']",64.4,24.0
12520,2007-12-03,"['Simulation', 'Racing', 'Driving', 'Open World']",412.28333333333336,17.0
8100,2008-02-08,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",72.38333333333334,23.0
2780,2007-05-08,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",311.9,54.0
9730,2006-02-21,"['Simulation', 'Management', 'City Builder']",23.866666666666667,52.0
9710,2006-05-02,"['Action', 'Western', 'Strategy', 'Tactical']",30.333333333333332,20.0
9800,2007-10-16,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",256.45,27.0
9760,2006-05-30,"['Action', 'Strategy', 'RTS']",191.1,6.0
2700,2006-10-26,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",15711.2,12.0
2710,2005-03-14,"['Action', 'Strategy', 'RTS']",170.41666666666666,25.0
13200,2003-02-03,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",412.6166666666667,37.0
13250,1998-04-30,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",403.0833333333333,5.0
13000,2008-03-21,"['Indie', 'Casual', 'Ninja']",37.266666666666666,16.0
13560,2003-02-18,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",1326.4666666666667,28.0
13520,2004-03-23,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",5451.55,33.0
13240,2000-10-25,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",3429.3166666666666,19.0
13540,2006-12-12,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",375.65,39.0
15210,2005-03-15,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",1341.0666666666666,4.0
16180,2008-05-28,"['Casual', 'Simulation']",182.71666666666667,43.0
3520,2008-06-04,"['Casual', 'Hidden Object']",37.88333333333333,53.0
15970,2008-06-10,"['Casual', 'Match 3']",69.95,57.0
15950,2008-06-10,"['Casual', 'Arcade']",50.833333333333336,50.0
15960,2008-06-10,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",83.4,24.0
15900,2008-06-10,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",6.483333333333333,29.0
15910,2005-12-08,['Casual'],13.216666666666667,13.0
15930,2007-11-13,"['Casual', 'Puzzle']",64.86666666666666,52.0
15160,2007-11-13,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",1016.6833333333333,41.0
15920,2005-12-08,['Casual'],92.9,54.0
15080,2007-03-27,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",62.13333333333333,8.0
15200,2007-03-20,"['Simulation', 'World War II', 'Naval', 'Military']",652.7333333333333,44.0
15320,2006-12-15,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",3385.5333333333333,32.0
15240,2008-03-24,"['Simulation', 'World War II', 'Naval']",239.41666666666666,25.0
8310,2005-09-15,"['Adventure', 'Point & Click']",24.366666666666667,22.0
12600,2005-07-02,['Racing'],8.883333333333333,53.0
8320,2006-04-12,"['Adventure', 'Point & Click']",10.4,24.0
12590,2008-07-29,['Racing'],124.53333333333333,32.0
12580,2008-01-08,['Casual'],42.65,39.0
12560,2007-07-02,"['Simulation', 'Management']",17.55,33.0
12570,2008-01-12,['Casual'],0.8,48.0
12540,2007-08-08,"['Casual', 'Puzzle']",8.466666666666667,28.0
11050,2008-05-20,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",60.15,9.0
10520,2008-07-08,['Sports'],0.0,0.0
11040,2008-04-14,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",125.96666666666667,58.0
19500,2008-07-31,"['Indie', 'Adventure', 'Platformer']",25.866666666666667,52.0
11260,2007-05-25,"['Simulation', 'Strategy', 'World War II', 'Naval']",274.8333333333333,50.0
19200,2008-08-21,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",145.66666666666666,40.0
12360,2008-08-19,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",2697.0333333333333,2.0
15710,1998-11-17,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",2567.633333333333,38.0
15700,1997-12-12,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",4482.25,15.0
8660,2008-09-01,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']",16.266666666666666,16.0
7770,2001-04-19,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']",123.6,36.0
7660,1997-07-15,"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']",1161.3666666666666,22.0
7760,1993-12-31,"['Strategy', 'Classic', 'Turn-Based Strategy', 'Sci-fi', 'Turn-Based', 'Tactical', 'Aliens', 'Singleplayer', 'Difficult', 'Turn-Based Tactics', 'Isometric', 'Base Building', 'Simulation', 'Atmospheric', ""1990's"", 'Action', 'Retro', 'Adventure', 'Management', 'Space']",3119.0666666666666,4.0
20510,2008-09-15,"['Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'RPG', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']",8590.716666666667,43.0
17330,2008-09-17,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",3061.3166666666666,19.0
17300,2007-11-13,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']",15577.216666666667,13.0
7730,1998-06-15,"['Strategy', 'Sci-fi', 'Space', 'Flight', 'Space Sim', 'Singleplayer']",147.45,27.0
20900,2008-09-16,"['RPG', 'Fantasy', 'Story Rich', 'Mature', 'Third Person', 'Singleplayer', 'Choices Matter', 'Action', 'Nudity', 'Adventure', 'Dark Fantasy', 'Based On A Novel', 'Atmospheric', 'Great Soundtrack', 'Open World', 'Multiple Endings', 'Medieval', 'Action RPG', 'Magic', 'Classic']",41530.933333333334,56.0
1530,2008-09-19,"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']",806.6666666666666,40.0
8690,2008-10-22,"['Racing', 'Simulation']",1232.0166666666667,1.0
17120,2008-08-28,"['City Builder', 'Simulation', 'Management', 'Historical', 'Singleplayer', 'Sandbox', 'Strategy']",324.1166666666667,7.0
16810,2008-09-23,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical', 'Singleplayer', 'Multiplayer', 'Moddable']",2040.3666666666666,22.0
19830,2003-03-18,"['Tactical', 'Action', 'FPS', 'Simulation', 'Strategy', 'Realistic', 'First-Person', 'Co-op', 'Shooter', 'Classic', 'Singleplayer']",866.4666666666667,28.0
21000,2008-09-29,"['LEGO', 'Action', 'Adventure', 'Batman', 'Local Co-Op', 'Superhero', 'Family Friendly', 'Co-op', 'Comedy', 'Singleplayer', 'Comic Book', 'Funny', 'Third Person', 'Controller', 'Local Multiplayer', 'Multiplayer']",2833.5,30.0
4460,2008-07-18,"['Simulation', 'Strategy', 'City Builder']",89.06666666666666,4.0
17140,2008-09-30,"['RPG', 'Strategy', 'Fantasy', 'Action RPG', 'Action', 'Singleplayer', 'City Builder']",268.8666666666667,52.0
15390,2008-10-08,"['Action', 'World War II', 'FPS', 'Tactical', 'Singleplayer', 'Military', 'Story Rich', 'Shooter', 'Gore', 'Atmospheric', 'Strategy', 'First-Person', 'War', 'Multiplayer', 'Historical']",1222.0833333333333,5.0
21300,2008-08-31,['Arcade'],11.9,54.0
3050,2006-12-01,"['Racing', 'Offroad']",22.35,21.0
15380,2006-11-14,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Fantasy']",343.51666666666665,31.0
