user_id,item_id,recommend,sentiment_analisys,modified_date,app_name&title
76561198010674657,377160,False,1,2020-03-27,Fallout 4
76561198010674657,440,True,1,2020-01-15,Team Fortress 2
Coldaniel,35450,True,2,2015-03-22,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
Coldaniel,440,True,1,2014-08-21,Team Fortress 2
Coldaniel,236390,True,1,2015-03-13,War Thunder
therealmorty,351570,True,1,2015-03-20,Killing Floor: Uncovered
therealmorty,212680,True,0,2015-03-07,FTL: Faster Than Light
Berserklejerker,391540,True,1,2015-10-10,Undertale
76561198061730629,550,True,1,2014-07-06,Left 4 Dead 2
YoHuNz,440,True,1,2014-06-19,Team Fortress 2
YoHuNz,570,True,1,2014-02-19,Dota 2
possessioniskey,72850,True,2,2015-04-11,
possessioniskey,440,True,1,2015-12-24,Team Fortress 2
possessioniskey,113400,True,1,2014-05-17,APB Reloaded
76561198093112529,440,True,1,2014-08-09,Team Fortress 2
76561198060447950,200510,True,1,2015-09-26,XCOM: Enemy Unknown
whiteofwolfing,730,True,1,2015-05-22,Counter-Strike: Global Offensive
sergarino,383080,True,1,2015-08-22,
76561198081962345,200210,True,2,2020-05-26,Realm of the Mad God
76561198081962345,1250,True,1,2014-04-05,Killing Floor
76561198073210139,304050,True,1,2020-01-18,Trove
Nozomikat,265610,True,1,2015-12-30,Epic Battle Fantasy 4
Nozomikat,264200,True,1,2014-08-01,One Finger Death Punch
Nozomikat,417860,True,1,2015-12-26,Emily is Away
Nozomikat,333600,True,2,2015-04-14,
Nozomikat,213670,True,1,2014-12-30,South Park™: The Stick of Truth™
Nozomikat,91310,True,1,2013-12-04,
Nozomikat,437220,False,1,2020-08-19,
Nozomikat,210770,True,1,2013-12-04,Sanctum 2
xfluttersx,351640,True,1,2015-11-10,Eternal Senia
xfluttersx,202530,False,1,2020-09-14,Sonic the Hedgehog 4 - Episode I
xfluttersx,105600,True,2,2012-08-27,Terraria
xfluttersx,440,True,1,2014-02-05,Team Fortress 2
xfluttersx,47870,True,1,2013-01-27,Need For Speed: Hot Pursuit
xfluttersx,383080,True,1,2015-08-25,
xfluttersx,410,True,1,2012-08-27,
76561198056290589,730,True,1,2014-12-16,Counter-Strike: Global Offensive
ii_voltage_ii,253710,False,1,2014-06-29,theHunter Classic
ii_voltage_ii,339280,True,1,2015-04-11,Strife®
ii_voltage_ii,271290,True,2,2014-03-08,
ii_voltage_ii,203290,True,2,2013-11-16,America's Army: Proving Grounds
76561198097762318,440,True,1,2015-11-11,Team Fortress 2
76561198097762318,233150,True,1,2014-12-26,LUFTRAUSERS
Hirukaz,550,True,1,2013-01-17,Left 4 Dead 2
StelerForYou,730,True,1,2015-07-17,Counter-Strike: Global Offensive
StelerForYou,211820,True,1,2013-12-29,Starbound
76561198183396245,440,True,1,2015-05-06,Team Fortress 2
Xx-Woods,346330,False,1,2020-07-20,BrainBread 2
Xx-Woods,224260,True,2,2015-01-26,No More Room in Hell
Xx-Woods,317360,True,1,2014-11-16,Double Action: Boogaloo
Xx-Woods,295550,True,1,2014-08-17,Royal Quest
Xx-Woods,250180,True,1,2014-07-21,METAL SLUG 3
Xx-Woods,227940,True,1,2014-07-19,Heroes & Generals
Xx-Woods,17520,True,1,2014-02-08,Synergy
Xx-Woods,113420,True,1,2014-01-07,Fallen Earth Free2Play
kevinator23,320760,True,1,2015-07-06,Tokyo School Life
kevinator23,8850,True,1,2015-09-06,BioShock® 2
kevinator23,233720,True,1,2014-04-24,Surgeon Simulator
kevinator23,218620,True,1,2015-07-06,PAYDAY 2
kevinator23,730,True,1,2015-01-27,Counter-Strike: Global Offensive
kevinator23,219740,True,2,2015-01-25,
kevinator23,220240,True,1,2014-05-24,Far Cry 3
kevinator23,440,True,1,2012-10-20,Team Fortress 2
76561198090715178,4000,True,1,2014-03-28,Garry's Mod
76561198090715178,304930,True,2,2014-07-09,Unturned
CatsWhale,333950,True,1,2015-02-23,Medieval Engineers
CatsWhale,388520,True,1,2015-08-29,
CatsWhale,107410,True,1,2014-11-23,Arma 3
CatsWhale,206210,True,1,2014-09-09,Gotham City Impostors Free to Play
76561198073784601,221100,True,1,2015-03-26,DayZ
76561198073784601,299740,False,1,2020-07-08,Miscreated
mimimomoma,730,True,0,2015-11-23,Counter-Strike: Global Offensive
76561198102410011,440,True,1,2015-09-14,Team Fortress 2
de_Butl3r,209870,True,1,2014-10-13,Blacklight: Retribution
76561198027947401,322170,True,1,2020-07-23,Geometry Dash
76561198027947401,304050,True,2,2020-02-20,Trove
Bluezap1,440,True,1,2015-12-27,Team Fortress 2
Bluezap1,730,True,1,2015-05-13,Counter-Strike: Global Offensive
Bluezap1,362890,True,1,2015-12-27,Black Mesa
Bluezap1,413850,True,1,2015-12-21,CS:GO Player Profiles
76561198074200011,730,True,1,2015-11-15,Counter-Strike: Global Offensive
jonasdbomb,346110,True,1,2020-09-09,ARK: Survival Evolved
L1J1N,570,True,2,2014-06-13,Dota 2
Lord_Exploit,311560,True,1,2015-03-13,Assassin’s Creed® Rogue
Lord_Exploit,322170,True,1,2015-01-07,Geometry Dash
AVATAR715,48240,False,1,2014-01-02,
AVATAR715,440,True,1,2015-11-18,Team Fortress 2
AVATAR715,248570,True,1,2014-06-01,Toribash
AVATAR715,264140,True,1,2014-03-18,Pixel Piracy
AVATAR715,4000,True,1,2014-02-16,Garry's Mod
AVATAR715,266430,True,2,2015-02-25,Anarchy Arcade
AVATAR715,316010,True,1,2015-08-15,Magic Duels
AVATAR715,249570,True,1,2014-12-25,The Castle Doctrine
YieuwMage,730,True,1,2020-02-22,Counter-Strike: Global Offensive
76561198078752187,240,True,0,2014-12-16,Counter-Strike: Source
A-Very-Sly-Person,304930,True,1,2015-08-14,Unturned
A-Very-Sly-Person,440,True,1,2014-11-11,Team Fortress 2
76561198211054671,730,True,0,2020-05-29,Counter-Strike: Global Offensive
76561198211054671,333930,True,0,2020-07-03,Dirty Bomb®
76561197994493402,365590,True,1,2020-06-20,Tom Clancy’s The Division™
76561197994493402,264200,True,1,2015-03-01,One Finger Death Punch
76561197994493402,440,True,2,2014-11-27,Team Fortress 2
Koolcaz12,298050,False,2,2020-05-17,Master of Orion
76561198065656175,383080,True,1,2015-11-20,
76561198188979775,440,True,1,2020-09-17,Team Fortress 2
97396295,301520,True,2,2014-08-23,Robocraft
97396295,243870,True,1,2014-06-17,
97396295,218230,False,1,2014-07-10,PlanetSide 2
97396295,291550,False,1,2020-08-26,Brawlhalla
76561198126640317,251570,True,1,2015-06-15,
76561198126640317,221100,True,1,2015-02-14,DayZ
76561198126640317,316010,True,1,2015-09-12,Magic Duels
76561198126640317,218230,True,1,2015-09-12,PlanetSide 2
76561198126640317,333930,True,2,2015-07-01,Dirty Bomb®
76561198126640317,222880,True,1,2015-07-01,Insurgency
76561198126640317,730,True,1,2015-06-15,Counter-Strike: Global Offensive
DemonicWolvz,55230,True,1,2015-01-15,Saints Row: The Third
DemonicWolvz,232090,True,2,2015-04-29,Killing Floor 2
DemonicWolvz,4000,True,1,2015-03-29,Garry's Mod
DemonicWolvz,206420,True,2,2014-11-23,Saints Row IV
DemonicWolvz,224260,True,1,2014-02-12,No More Room in Hell
DemonicWolvz,550,True,1,2013-12-26,Left 4 Dead 2
DieMadchenschanderin,346110,True,1,2015-08-29,ARK: Survival Evolved
DieMadchenschanderin,380770,False,1,2015-10-05,
DieMadchenschanderin,454890,True,1,2020-06-29,Project Starship
DieMadchenschanderin,227680,False,1,2013-06-14,
GGargula,570,False,1,2020-09-04,Dota 2
GGargula,233250,True,1,2015-11-23,
Myther43,273350,True,1,2020-07-16,Evolve Stage 2
getf0kinn0sc0pedm9,730,True,1,2015-05-31,Counter-Strike: Global Offensive
getf0kinn0sc0pedm9,440,False,1,2020-06-26,Team Fortress 2
76561198141443390,730,True,1,2015-05-03,Counter-Strike: Global Offensive
76561198097333029,570,True,0,2020-06-14,Dota 2
whodafuqisthisguilao,730,True,2,2015-08-06,Counter-Strike: Global Offensive
Magjiikal,370480,True,2,2015-10-05,Pixel Galaxy
Magjiikal,313740,True,1,2015-12-17,
ohnospaghet,1840,True,1,2014-12-17,Source Filmmaker
ohnospaghet,440,True,1,2014-09-30,Team Fortress 2
ohnospaghet,266210,True,2,2015-03-10,One Way Heroics
ohnospaghet,369200,True,1,2020-01-16,
ohnospaghet,252490,False,1,2020-03-05,Rust
ohnospaghet,264200,True,1,2015-03-10,One Finger Death Punch
76561198050347115,292030,True,1,2020-03-19,
2768820078,287700,True,1,2015-09-01,METAL GEAR SOLID V: THE PHANTOM PAIN
2768820078,730,False,1,2020-04-19,Counter-Strike: Global Offensive
2768820078,310950,True,1,2020-04-18,Street Fighter V
2768820078,377160,True,1,2015-11-18,Fallout 4
2768820078,221380,True,1,2015-08-08,Age of Empires II HD
2768820078,333950,True,1,2015-07-15,Medieval Engineers
2768820078,222420,False,1,2015-06-12,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
2768820078,271590,True,1,2015-05-19,Grand Theft Auto V
2768820078,298110,True,1,2015-05-11,Far Cry® 4
2768820078,222440,True,1,2015-05-02,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
76561198056392326,259530,True,1,2020-02-07,Savant - Ascent
76561198056392326,219640,False,1,2020-01-30,Chivalry: Medieval Warfare
76561198056392326,269210,False,1,2020-01-30,Hero Siege
2d4nk4m3,317470,False,1,2014-08-20,Cubic Castles
2d4nk4m3,47410,True,1,2014-03-18,Stronghold Kingdoms
76561198078478151,730,True,1,2020-04-10,Counter-Strike: Global Offensive
exiaez,365450,True,1,2020-09-15,Hacknet
76561198095921854,245620,True,2,2015-05-01,Tropico 5
EizanAratoFujimaki,70,True,1,2015-10-28,Half-Life
EizanAratoFujimaki,359550,False,1,2020-04-15,Tom Clancy's Rainbow Six® Siege
TeCool,274980,True,1,2014-12-15,Influent
TeCool,202090,True,1,2014-12-06,
TeCool,339280,True,1,2015-04-11,Strife®
TeCool,314130,False,1,2015-01-31,
2xDelorean,570,True,1,2015-09-13,Dota 2
2xDelorean,212680,True,1,2013-07-26,FTL: Faster Than Light
2xDelorean,200210,True,2,2013-05-18,Realm of the Mad God
2xDelorean,440,True,2,2011-10-30,Team Fortress 2
washington_,440,False,1,2020-08-19,Team Fortress 2
washington_,4000,True,2,2020-08-19,Garry's Mod
washington_,211820,True,1,2020-08-19,Starbound
washington_,10180,True,1,2020-08-19,Call of Duty®: Modern Warfare® 2
washington_,252490,True,1,2020-08-19,Rust
washington_,417860,True,1,2015-12-13,Emily is Away
jewxxl,251970,True,1,2015-05-18,
76561198088944293,359550,True,1,2020-06-22,Tom Clancy's Rainbow Six® Siege
76561198088944293,107410,True,2,2020-07-14,Arma 3
76561198088944293,218230,False,1,2020-06-27,PlanetSide 2
76561198088944293,437701,False,1,2020-03-08,Tom Clancy's The Division™ -  Marine Forces Outfits Pack
76561198088944293,304930,True,1,2014-12-13,Unturned
76561198092540221,400,True,1,2015-07-31,Portal
76561198092540221,620,True,1,2015-06-29,Portal 2
76561198092540221,238460,True,2,2015-06-29,BattleBlock Theater®
76561198092540221,6060,True,2,2015-02-12,"Star Wars: Battlefront 2 (Classic, 2005)"
76561198092540221,440,True,2,2014-03-29,Team Fortress 2
76561198051258119,730,True,1,2015-02-04,Counter-Strike: Global Offensive
nubquake123,265610,True,1,2014-04-21,Epic Battle Fantasy 4
Pyromanic,31280,True,1,2013-02-15,Poker Night at the Inventory
Pyromanic,4000,True,2,2013-02-15,Garry's Mod
Pyromanic,240,True,2,2013-02-15,Counter-Strike: Source
76561198109656922,440,True,1,2020-03-27,Team Fortress 2
CobRazor,252490,True,1,2015-08-01,Rust
relesprit,8930,True,2,2013-12-27,Sid Meier's Civilization® V
WitchHunter4542,304930,True,1,2014-07-16,Unturned
WitchHunter4542,237310,True,1,2015-01-13,Elsword
WitchHunter4542,224260,True,1,2014-01-11,No More Room in Hell
pwrt,230410,True,1,2015-09-03,Warframe
pwrt,440,True,1,2014-01-20,Team Fortress 2
wantmahbody,440,True,2,2014-05-03,Team Fortress 2
76561198115868847,219640,False,0,2020-05-01,Chivalry: Medieval Warfare
benedictcuminherbatch,570,True,2,2014-08-02,Dota 2
76561198031207016,8930,True,1,2014-03-17,Sid Meier's Civilization® V
76561198043458582,105600,True,0,2015-07-19,Terraria
76561198043458582,221100,True,1,2015-05-26,DayZ
76561198043458582,107410,True,1,2015-11-22,Arma 3
76561198043458582,231430,True,1,2014-10-18,Company of Heroes 2
smashiroshh,218620,True,1,2014-12-30,PAYDAY 2
shark854,225540,True,1,2020-03-07,Just Cause™ 3
killbunny38,570,True,1,2015-01-22,Dota 2
killbunny38,333930,False,0,2015-08-20,Dirty Bomb®
76561198047630659,230410,False,1,2015-05-14,Warframe
1337lolroflmao,271590,True,1,2015-04-13,Grand Theft Auto V
1337lolroflmao,218620,True,1,2014-10-01,PAYDAY 2
1337lolroflmao,219740,True,1,2013-12-28,
1337lolroflmao,7940,True,2,2013-12-28,Call of Duty® 4: Modern Warfare®
1337lolroflmao,234190,True,1,2014-11-30,Receiver
1337lolroflmao,10180,True,2,2013-12-28,Call of Duty®: Modern Warfare® 2
1337lolroflmao,33900,True,2,2013-12-28,Arma 2
1337lolroflmao,261030,True,2,2015-01-05,The Walking Dead: Season 2
1337lolroflmao,243470,True,1,2014-12-23,Watch_Dogs™
sithjjf,302830,False,1,2015-09-01,BLOCKADE 3D
76561198060039459,570,False,1,2014-10-04,Dota 2
OzfurAtlas,218620,False,1,2020-01-10,PAYDAY 2
OzfurAtlas,4700,True,1,2020-09-12,Medieval II: Total War™
OzfurAtlas,212680,True,1,2013-12-08,FTL: Faster Than Light
76561198065593074,304930,False,1,2015-11-06,Unturned
76561198065593074,730,False,1,2020-06-25,Counter-Strike: Global Offensive
76561198065593074,304050,True,1,2015-09-23,Trove
76561198065593074,203750,True,0,2014-05-31,Binary Domain
76561198044169764,227940,False,1,2015-06-24,Heroes & Generals
76561198044169764,355180,False,1,2015-07-22,Codename CURE
76561198044169764,730,True,0,2020-03-20,Counter-Strike: Global Offensive
76561198044169764,4000,True,1,2015-06-03,Garry's Mod
euzi,236390,True,2,2014-07-26,War Thunder
76561198074935997,221100,False,1,2020-05-15,DayZ
76561198074935997,365590,False,1,2020-05-13,Tom Clancy’s The Division™
76561198074935997,299740,True,2,2020-07-10,Miscreated
76561198074935997,346110,False,1,2020-09-17,ARK: Survival Evolved
76561198074935997,275850,False,1,2020-08-16,No Man's Sky
76561198074935997,400800,False,0,2020-07-31,MXGP2 - The Official Motocross Videogame
76561198074935997,252490,False,1,2020-06-29,Rust
76561198074935997,437220,False,1,2020-03-06,
76561197961778802,730,True,1,2014-04-23,Counter-Strike: Global Offensive
lucasrash,440,True,1,2020-09-08,Team Fortress 2
76561198016602703,301520,False,1,2020-09-02,Robocraft
76561198016602703,433340,True,1,2020-07-23,Slime Rancher
thisissohardtomakeoneup,440,True,1,2014-04-12,Team Fortress 2
76561198087010391,4000,True,1,2015-04-04,Garry's Mod
66666669999999,302830,False,1,2015-01-05,BLOCKADE 3D
76561198061174192,220200,True,2,2014-09-14,Kerbal Space Program
76561198061174192,242760,True,1,2014-09-14,The Forest
ReMiXOfficalSteam,352460,True,2,2015-10-12,Dead Realm
Wilfire77,322920,True,1,2015-03-22,theHunter: Primal
76561198084390807,234792,True,1,2015-12-01,Call of Duty®: Black Ops II - Aqua Personalization Pack
76561198084390807,252490,True,1,2014-05-10,Rust
Mastic,304050,False,1,2015-08-01,Trove
Mastic,297130,True,1,2020-06-29,Titan Souls
Mastic,397570,True,1,2020-03-25,Shmadow
Mastic,550,True,1,2014-12-30,Left 4 Dead 2
Mastic,206420,True,1,2014-12-27,Saints Row IV
Mastic,278360,False,1,2020-07-07,A Story About My Uncle
76561198028286104,10180,True,2,2013-12-26,Call of Duty®: Modern Warfare® 2
tarjla,242760,True,1,2020-08-26,The Forest
tarjla,304930,True,1,2014-07-13,Unturned
tarjla,441790,True,1,2020-08-26,Fragmented
tarjla,265750,True,1,2015-01-28,Secret Ponchos
tarjla,252490,True,1,2014-05-08,Rust
tarjla,4000,True,2,2013-11-21,Garry's Mod
tarjla,211820,True,1,2013-12-07,Starbound
tarjla,105600,True,1,2013-02-09,Terraria
tarjla,251570,True,1,2020-08-26,
tarjla,730,True,1,2014-01-09,Counter-Strike: Global Offensive
deathnz1,233110,False,1,2020-07-18,Defense Technica
deathnz1,322910,False,1,2020-07-16,"Warhammer 40,000: Regicide"
deathnz1,276340,True,1,2014-12-26,My Riding Stables: Life with Horses
readingthis4noobs,227940,True,1,2020-05-14,Heroes & Generals
76561198104393251,304930,True,1,2015-03-13,Unturned
76561198075322986,730,True,1,2020-03-30,Counter-Strike: Global Offensive
redsncrimson,448530,True,1,2020-06-18,Square's Route
redsncrimson,304410,True,1,2020-03-20,Hexcells Infinite
redsncrimson,620,True,1,2020-03-20,Portal 2
redsncrimson,274920,True,1,2014-12-23,FaceRig
redsncrimson,211820,True,1,2013-12-26,Starbound
redsncrimson,219890,True,1,2020-03-20,Antichamber
redsncrimson,49520,True,2,2013-05-18,Borderlands 2
redsncrimson,223510,True,1,2013-01-09,Miasmata
redsncrimson,440,True,1,2012-11-30,Team Fortress 2
76561198151910904,252950,True,2,2020-04-22,Rocket League®
H1DD3NT3RR0R,240,True,1,2014-03-10,Counter-Strike: Source
H1DD3NT3RR0R,105600,True,1,2014-02-27,Terraria
H1DD3NT3RR0R,204300,True,1,2013-11-25,Awesomenauts - the 2D moba
H1DD3NT3RR0R,730,True,1,2014-06-11,Counter-Strike: Global Offensive
H1DD3NT3RR0R,440,False,1,2015-09-04,Team Fortress 2
H1DD3NT3RR0R,570,True,1,2014-06-18,Dota 2
76561198071214618,268750,True,1,2015-05-11,Magicite
76561198115115631,570,True,2,2015-05-22,Dota 2
76561198071175142,570,True,2,2015-08-10,Dota 2
76561198071175142,271590,True,2,2015-07-07,Grand Theft Auto V
t8s,360870,True,1,2015-05-13,Ultimate Tic-Tac-Toe
t8s,730,True,1,2015-05-02,Counter-Strike: Global Offensive
pikawuu2,230410,True,1,2020-03-12,Warframe
pikawuu2,12900,True,2,2013-09-15,AudioSurf
Sammeh00,301520,True,1,2014-11-04,Robocraft
Michaelele,6060,True,1,2014-08-07,"Star Wars: Battlefront 2 (Classic, 2005)"
Michaelele,730,True,1,2014-06-30,Counter-Strike: Global Offensive
Michaelele,107410,True,1,2014-08-21,Arma 3
Michaelele,304930,True,1,2014-07-16,Unturned
76561198045754869,335670,True,0,2015-08-07,LISA
